,ensgene,YM.16wk.8,YM.16wk.3,YM.16wk.4,YM.16wk.1,SM.16wk.6,SM.16wk.5,SM.16wk.2,WT.16wk.7,WT.16wk.6,WT.16wk.2,YI.6wk.4,YI.6wk.1,YI.6wk.3,YI.6wk.2,HGNC
1681,ENSNFUG00015000759,33,31,73,38,30,87,78,53,29,36,607,13,84,15,SERPING1
2079,ENSNFUG00015003066,23,29,50,28,37,59,87,50,27,13,1464,87,131,57,C3
2611,ENSNFUG00015008008,8,4,4,15,9,47,37,30,6,5,928,8,110,10,C9
8608,ENSNFUG00015021229,4,1,0,3,6,8,3,8,0,2,205,33,16,21,CPB2
9608,ENSNFUG00015020528,77,63,115,56,70,67,114,55,55,58,159,57,59,49,PROS1
10044,ENSNFUG00015011177,0,2,2,7,6,8,16,5,3,7,187,13,16,4,C8G
10764,ENSNFUG00015005492,2,3,4,5,5,30,21,8,3,4,446,13,43,7,C8B
10766,ENSNFUG00015005554,3,4,0,2,7,9,5,8,4,2,315,8,29,1,C8A
14339,ENSNFUG00015021645,62,41,52,50,69,139,83,110,80,79,2127,59,220,60,C5
