,Gene_Name,Q=0.00 p.adj,Q=1.00 p.adj,Q=1.50 p.adj,Q=2.00 p.adj,Q=3.00 p.adj,Q=4.00 p.adj
ENSNFUG00015003795,IL6R,0.271094561893929,0.344862551664684,0.394293818478667,0.442262930204584,0.457154907171014,0.45210851818035
ENSNFUG00015000538,IL22RA1,0.754692847989218,0.619827666138509,0.480667440928674,0.400346806900886,0.339068793087751,0.324218126724293
ENSNFUG00015000879,TGFB3,0.22183610733604,0.178677131980434,0.141417279466607,0.130179716907489,0.155372116195312,0.187107725984507
ENSNFUG00015001596,IL11,,,,,,
ENSNFUG00015011121,TGFB1,0.924447747509783,0.899207400966601,0.8265274461455,0.77751856273956,0.756580420384054,0.759349165774955
ENSNFUG00015003470,IL18R1,0.006874567670933,0.005590625616098,0.003591091040637,0.003382073898008,0.005616726787229,0.007351241371666
ENSNFUG00015015354,TNF,0.578586467940926,0.584125213804835,0.567301255607721,0.575924910898666,0.582904387534246,0.567956851485021
ENSNFUG00015020257,IL22RA1,0.674277312049517,0.791603638447154,0.779053998867728,0.749493047636503,0.700745756764253,
ENSNFUG00015020266,IL10,0.896781810388797,0.800837803029603,0.743480183807916,0.715877719335349,0.758833423767141,0.821850047668368
ENSNFUG00015009023,IL1R2,0.030940616316868,0.028678412243006,0.022984545692202,0.02382137978777,0.035770523406531,0.045671727030432
ENSNFUG00015009884,IL6R,0.748702252007999,0.628699783600193,0.592714919173065,0.57820873411322,0.562258149702942,0.550320404208223
ENSNFUG00015012860,IL6R,0.783428859986771,0.808081349482304,0.869229903618735,0.925021780279558,0.948172244673516,0.952497941341942
ENSNFUG00015015040,TGFBR2,0.021074258564503,0.03383404655468,0.063804828694778,0.101091157624979,0.135771046529749,0.14285570119302
ENSNFUG00015018588,LTA,0.57774111507284,0.593043265433741,0.556707709993108,0.548883695823072,0.583009485665815,0.613182292651362
ENSNFUG00015019724,IL17D,0.462682472767419,0.618764284810947,0.809017070071171,0.928349873261418,0.969431756089701,
ENSNFUG00015022267,IL6R,0.666685772849637,0.67841091869279,0.686109551918437,0.690852980993797,0.633410344540944,0.552197470405465
ENSNFUG00015014619,IFNG,0.580780609167552,0.619944117370611,0.658081522472648,0.692956297927707,0.691365788441193,
